Date,ETF,Price,Shares,Total_Invested
2022-01-04,SPY,457.0284729003906,0.0438,20.0
2022-01-05,SPY,448.2525634765625,0.0446,20.0
2022-01-06,SPY,447.8314208984375,0.0447,20.0
2022-01-07,SPY,446.0609436035156,0.0448,20.0
2022-01-10,SPY,445.5058898925781,0.0449,20.0
2022-01-11,SPY,449.5636596679688,0.0445,20.0
2022-01-12,SPY,450.7790832519531,0.0444,20.0
2022-01-13,SPY,444.5679931640625,0.045,20.0
2022-01-14,SPY,444.7497863769531,0.045,20.0
2022-01-18,SPY,436.8734436035156,0.0458,20.0
2022-01-19,SPY,432.337158203125,0.0463,20.0
2022-01-20,SPY,427.5520629882813,0.0468,20.0
2022-01-21,SPY,419.1589660644531,0.0477,20.0
2022-01-24,SPY,420.93896484375,0.0475,20.0
2022-01-25,SPY,415.79974365234375,0.0481,20.0
2022-01-26,SPY,414.756591796875,0.0482,20.0
2022-01-27,SPY,412.7085571289063,0.0485,20.0
2022-01-28,SPY,422.9583129882813,0.0473,20.0
2022-01-31,SPY,430.57623291015625,0.0464,20.0
2022-02-01,SPY,433.4856567382813,0.0461,20.0
2022-02-02,SPY,437.6965637207031,0.0457,20.0
2022-02-03,SPY,427.4084777832031,0.0468,20.0
2022-02-04,SPY,429.4182739257813,0.0466,20.0
2022-02-07,SPY,428.0401306152344,0.0467,20.0
2022-02-08,SPY,431.56195068359375,0.0463,20.0
2022-02-09,SPY,437.8783874511719,0.0457,20.0
2022-02-10,SPY,430.0116271972656,0.0465,20.0
2022-02-11,SPY,421.53228759765625,0.0474,20.0
2022-02-14,SPY,420.15423583984375,0.0476,20.0
2022-02-15,SPY,426.9299926757813,0.0468,20.0
2022-02-16,SPY,427.4084777832031,0.0468,20.0
2022-02-17,SPY,418.2784118652344,0.0478,20.0
2022-02-18,SPY,415.5700073242188,0.0481,20.0
2022-02-22,SPY,411.11029052734375,0.0486,20.0
2022-02-23,SPY,403.8177795410156,0.0495,20.0
2022-02-24,SPY,409.8948974609375,0.0488,20.0
2022-02-25,SPY,418.9387817382813,0.0477,20.0
2022-02-28,SPY,417.866943359375,0.0479,20.0
2022-03-01,SPY,411.5027160644531,0.0486,20.0
2022-03-02,SPY,419.07275390625,0.0477,20.0
2022-03-03,SPY,416.9864501953125,0.048,20.0
2022-03-04,SPY,413.5986022949219,0.0484,20.0
2022-03-07,SPY,401.4060668945313,0.0498,20.0
2022-03-08,SPY,398.3626708984375,0.0502,20.0
2022-03-09,SPY,409.0431213378906,0.0489,20.0
2022-03-10,SPY,407.1961059570313,0.0491,20.0
2022-03-11,SPY,402.0185241699219,0.0497,20.0
2022-03-14,SPY,399.0804748535156,0.0501,20.0
